labels,Not,Exp,Imp
0,0.7180238,0.17670135,0.10527491
0,0.9486879,0.02262814,0.028684005
0,0.9837878,0.007691852,0.008520333
0,0.9753786,0.012227812,0.012393589
1,0.9817883,0.007616429,0.010595302
0,0.8700185,0.06250787,0.06747364
0,0.76327044,0.16511703,0.07161243
0,0.9549693,0.021159722,0.023870988
0,0.98207605,0.0089469915,0.008976927
0,0.9792277,0.0108164055,0.0099559445
0,0.951384,0.01873833,0.029877644
0,0.9817633,0.008527024,0.009709576
0,0.9575488,0.024874875,0.017576408
0,0.9840986,0.008586825,0.0073146117
0,0.98291,0.008232642,0.008857404
1,0.05991877,0.897027,0.043054257
0,0.960244,0.0218261,0.01792991
0,0.98282856,0.007264672,0.00990682
0,0.9487287,0.020456046,0.030815315
0,0.97902817,0.011042485,0.009929336
0,0.9711577,0.0108040795,0.018038182
0,0.94282913,0.025438318,0.031732503
0,0.60566795,0.33267418,0.061657816
0,0.98469895,0.0062810327,0.009020056
0,0.97039896,0.0133134015,0.01628754
0,0.9740157,0.012693822,0.013290489
0,0.96942556,0.010148128,0.020426212
1,0.5845504,0.2144585,0.20099118
0,0.9805948,0.008832211,0.01057299
2,0.8201568,0.10536039,0.07448274
2,0.9649173,0.019329805,0.015752811
0,0.9771295,0.007901072,0.014969504
0,0.9807844,0.009953301,0.009262344
0,0.98011243,0.009239338,0.010648251
0,0.97279865,0.011609606,0.0155916745
0,0.9815911,0.009318936,0.009089885
0,0.9864466,0.005617972,0.007935458
0,0.9818003,0.0074995984,0.010700124
1,0.04720562,0.90398896,0.048805393
1,0.053092275,0.90946,0.03744778
1,0.9367896,0.041643094,0.021567315
0,0.9800577,0.009378901,0.01056333
0,0.8830256,0.053100254,0.06387414
1,0.9742658,0.01002901,0.015705068
0,0.9850867,0.0068004495,0.008112852
0,0.9108862,0.0453999,0.043713845
0,0.9832608,0.008621498,0.008117667
1,0.05196803,0.9025417,0.04549029
0,0.75728416,0.17050803,0.072207786
0,0.93257433,0.027885018,0.039540656
0,0.9838267,0.0060989563,0.010074322
0,0.9449026,0.031334247,0.02376315
0,0.9646984,0.01483994,0.020461684
0,0.9804688,0.0091504725,0.010380662
0,0.8987838,0.04472888,0.056487232
0,0.9649212,0.013946746,0.021132037
0,0.9840986,0.008586825,0.0073146117
0,0.97723264,0.008081907,0.014685459
0,0.5881532,0.3380542,0.07379258
0,0.20727828,0.6865231,0.10619862
0,0.25037274,0.6010364,0.14859085
