,id,Comment,Target,real,baseline,ood
29,58995,"@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them!!!",2,2,0,2
335,80197,"#Barbara Boxer If LIBERALS Want to Use RAPE as a Political Tactic! THEY Had Better Have Some HARD EVIDENCE! Her Word Isn't Evidence!!! Its Called HEARSAY . On that note, I Could Say ' YOU  ' Cornered Me In A Bathroom, And put YOUR Hands All Over Me' 35 Years Ago. PROVE ME WRONG URL",2,2,0,2
533,55048,"#BoycottNike campaign must continue and grow  Paying overseas staff $0.20 an hour is not okay because your staff is over there"".   You are exploiting poor women/men in the world.  This is more than Americans can stand. URL",2,2,0,2
554,55832,#David #Miliband #DavidMiliband flew away  in #NewYork to be with the #US #Liberals #Democrats - had to flee #Corbynists hatred of Jews,2,2,0,2
569,62689,#scottgimple ruined #TheWalkingDead and now he is doing the same to #FearTWD . Hope the checks cash forever because he should never get another job. #AMC,2,2,0,2
584,15866,#Austerity Low pay #TuitionFees  Lack of housing Wages falling #UniversalCredit Unaffordable rents #NHS crisis Crap railways Empty shops #Brexit No deal exit from EU #Windrush #Grenfell   In just 8 short years the @USER have completely fucked the UK,2,2,0,2
634,98531,@USER @USER 😂 You do not like the Jewish people because you ALL claims they are holding all the money. Sound familiar? Your left wing libtard  family is the family of the KKK. You do not hate Jews? That’s funny. Gun control; even funnier. Good luck,2,2,0,2
639,31665,#Conservatives are more upset about #bertenernie being #gay than having a #sexualpredator in the @USER a hooker as @USER and a #rapist as #supremecourtjustice,2,2,0,2
649,46983,"#Conservatives just like old #Garbage bags blowing in the wind, here's an old garbage bag now... URL",2,2,0,2
732,63129,"#LiberalHypocrisy #TacoBell When Liberals ask why your against illegal immigration? Taco Bell Employee: No Habla Ingles!"" URL",2,2,0,2
755,65545,#GreatestThingsAboutThe90s liberals weren’t unhinged,2,2,0,2
775,72523,#FemiNazis are Liberals so #MeToo only counts when they blame a non-Liberal man. #Bizarro  #KAG2018 ❤️🇺🇸 URL,2,2,0,2
833,78688,"#ConfirmKavanugh now, stall tactics are DC cronies only recourse. No more delays.  #VoteRed to end this madness and to #MAGA",2,2,0,2
